city,sum,lat,lng
"Abbeville, Louisiana",26,29.9746502,-92.13429210000001
"Aberdeen, Washington",14,46.9753708,-123.8157218
"Abilene, Texas",5148,32.4487364,-99.73314390000002
"Abingdon, Maryland",8,39.4622357,-76.27722229999999
"Abington, Pennsylvania",6,40.1240795,-75.11951069999999
"Absecon, New Jersey",6,39.4284503,-74.4957076
"Acton, Massachusetts",52,42.4850931,-71.43284
"Acworth, Georgia",40,34.0659329,-84.6768796
"Ada, Michigan",36,42.960727,-85.4954803
"Addison, Illinois",68,41.931696,-87.9889556
"Adelanto, California",16,34.5827699,-117.409215
"Adelphi, Maryland",54,39.0031656,-76.97192
"Affton, Missouri",38,38.5506084,-90.3331719
"Agawam, Massachusetts",106,42.0695391,-72.61481169999999
"Agoura Hills, California",38,34.1533395,-118.7616764
"Aiken, South Carolina",8,33.5604168,-81.7195533
"Airway Heights, Washington",26,47.644611,-117.5932727
"Akron, Ohio",10598,41.0814447,-81.51900529999999
"Alameda, California",472,37.7652065,-122.2416355
"Alamo, California",30,37.8502032,-122.032184
"Albany, California",6640,37.88687,-122.2977475
"Albemarle, North Carolina",4,35.3501426,-80.2000578
"Albert Lea, Minnesota",58,43.6478006,-93.3686555
"Albertson, New York",6,40.7734341,-73.6431844
"Albertville, Minnesota",40,45.2312337,-93.6687657
"Albuquerque, New Mexico",5112,35.0843859,-106.650422
"Alcoa, Tennessee",2,35.7895271,-83.9737935
"Aldie, Virginia",6,38.9756745,-77.6418724
"Alexandria, Louisiana",2352,31.3112936,-92.4451371
"Alexnadria, Louisiana",2,31.3112936,-92.4451371
"Algona, Washington",4,47.2789896,-122.2520647
"Algonquin, Illinois",28,42.1655801,-88.29424929999999
"Alhambra, California",136,34.095287,-118.1270146
"Aliquippa, Pennsylvania",8,40.615537,-80.26218519999999
"Aliso Viejo, California",76,33.5684605,-117.7262981
"Allen, Texas",254,33.1031744,-96.67055030000002
"Allentown, Pennsylvania",2366,40.6022939,-75.4714098
"Allston, Massachusetts",72,42.3539038,-71.1337112
"Aloha, Oregon",160,45.4942838,-122.8670454
"Alpharetta, Georgia",504,34.0753762,-84.2940899
"Alpharette, Georgia",2,34.0750988,-84.2124192
"Alpine, California",40,32.8350521,-116.7664109
"Alsip, Illinois",18,41.6689223,-87.73866190000001
"Alta Loma, California",22,34.1222317,-117.5981086
"Altadena, California",18,34.190162,-118.1313188
"Altamonte Springs, Florida",46,28.6611089,-81.3656242
"Alto, Michigan",2,42.8564917,-85.38046949999999
"Altoona, Iowa",32,41.6435514,-93.47508359999999
"Alvin, Texas",34,29.4238472,-95.24410089999999
"Amarillo, Texas",11546,35.2219971,-101.8312969
"Ambler, Pennsylvania",34,40.1545535,-75.22156509999999
"Amelia, Ohio",2,39.0283966,-84.2177136
"American Canyon, California",2,38.1749178,-122.2608044
"Ames, Iowa",124,42.0307812,-93.63191309999999
"Amherst, Massachusetts",250,42.3732216,-72.5198537
"Amityville, New York",12,40.6789893,-73.4170673
"Anacortes, Washington",6,48.51260449999999,-122.6126718
"Anaheim, California",2950,33.8365932,-117.9143012
"Anchorage, Alaska",2174,61.2180556,-149.9002778
"Anderson, South Carolina",68,34.5034394,-82.6501332
"Andover, Kentucky",48,37.99549409999999,-84.4133272
"Andrews, Texas",2,32.31871580000001,-102.5457155
"Angola, New York",2,42.63839249999999,-79.0278156
"Anheim, California",2,33.8365932,-117.9143012
"Ankeny, Iowa",72,41.7317884,-93.6001278
"Ann Arbor, Michigan",1516,42.2808256,-83.7430378
"Anna, Texas",2,33.3490011,-96.54859909999999
"Annandale, Virginia",496,38.8303905,-77.1963703
"Annapolis, Maryland",4,38.9784453,-76.4921829
"Anoka, Minnesota",304,45.1977428,-93.3871758
"Ansonia, Connecticut",30,41.34620779999999,-73.07899689999999
"Antelope, California",1892,38.7166871,-121.3644216
"Anthem, Arizona",82,33.8543346,-112.1251372
"Antioch, California",1640,38.0049214,-121.805789
"Apex, North Carolina",38,35.732652,-78.85028559999999
"Apollo Beach, Florida",8,27.7730836,-82.40759349999999
"Apopka, Florida",132,28.6934076,-81.5322149
"Apple Valley, California",140,34.5008311,-117.1858759
"Appleton, Wisconsin",626,44.2619309,-88.41538469999999
"Aptos, California",6,36.97717290000001,-121.8994016
"Arabi, Louisiana",14,29.9543702,-90.0053477
"Arbutus, Maryland",162,39.2545512,-76.6999702
"Arcadia, California",50,34.1397292,-118.0353449
"Archdale, North Carolina",18,35.914581,-79.9719831
"Archer, Florida",6,29.5299677,-82.51899689999999
"Arden, North Carolina",2,35.4661613,-82.5166982
"Ardmore, Pennsylvania",2,40.0067785,-75.2854622
"Argyle, Texas",2,33.1212321,-97.1833475
"Arkansas City, Kansas",8,37.0619736,-97.0383712
"Arleta, California",12,34.2504595,-118.4338345
"Arlington, Connecticut",2806,41.7712762,-73.0598438
"Arlington Heights, Illinois",70,42.0883603,-87.98062650000001
"Arnold, Missouri",84,38.4328317,-90.3776187
"Arvada, Colorado",612,39.8027644,-105.0874842
"Arverne, New York",10,40.592658,-73.7977928
"Asbury Park, New Jersey",2,40.2203907,-74.0120817
"Ashburn, Virginia",186,39.0437567,-77.4874416
"Asheboro, North Carolina",40,35.7079146,-79.8136446
"Asheville, North Carolina",1542,35.5950581,-82.5514869
"Ashland, Alabama",28,33.2737256,-85.83607409999999
"Ashley, Ohio",10,40.4089499,-82.955461
"Ashville, North Carolina",8,35.5950581,-82.5514869
"Aspen Hill, Maryland",10,39.0795529,-77.07303379999999
"Aston, Pennsylvania",22,39.86481939999999,-75.4257325
"Astoria, New York",70,40.7643574,-73.92346189999999
"Athens, Georgia",72,33.9519347,-83.357567
"Atlanta, Georgia",25692,33.7489954,-84.3879824
"Atlantic Beach, Florida",4,30.3344077,-81.398696
"Atlantic City, New Jersey",426,39.3642834,-74.4229266
"Attleboro, Massachusetts",24,41.94454409999999,-71.2856082
"Atwater, California",168,37.3477174,-120.609084
"Aubrey, Texas",6,33.3042834,-96.98611799999999
"Auburn, California",2542,38.8965654,-121.0768901
"Auburn Hills, Michigan",12,42.6875323,-83.2341028
"Auburndale, Florida",16,28.0652975,-81.7886906
"Audubon, New Jersey",2,39.8909466,-75.0729504
"Augusta, New Jersey",76,41.1446516,-74.7061308
"Aumsville, Oregon",8,44.8409548,-122.8709243
"Aurora, Colorado",8152,39.7294319,-104.8319195
"Austell, Georgia",26,33.8126059,-84.6343783
"Austin, Minnesota",14188,43.6666296,-92.97463669999999
"Avenel, New Jersey",4,40.5803818,-74.28514690000002
"Aventura, Florida",42,25.9564812,-80.1392121
"Avon, Connecticut",18,41.8096201,-72.8305154
"Avon Lake, Ohio",18,41.5053178,-82.02820009999999
"Avon Park Lakes, Florida",10,27.6283664,-81.54840949999999
"Avondale, Arizona",146,33.4355977,-112.3496021
"Avondale Estates, Georgia",438,33.7714939,-84.26714439999999
"Ayden, North Carolina",6,35.4726626,-77.4155203
"Azle, Texas",2,32.8951262,-97.5458565
"Azusa, California",18,34.1336186,-117.9075627
"Bainbridge Island, Washington",6,47.62487910000001,-122.5210007
"Baker, Louisiana",6,30.5882429,-91.16816299999999
"Bakersfield, California",552,35.3732921,-119.0187125
"Bal Harbour, Florida",4,25.8917613,-80.1269896
"Baldwin Park, California",136,34.0852868,-117.9608978
"Baldwinsville, New York",52,43.15867859999999,-76.33270949999999
"Ball, Louisiana",10,31.4154574,-92.41180360000001
"Ballston Lake, New York",14,42.9117377,-73.86808719999999
"Ballwin, Missouri",122,38.5950532,-90.54623389999999
"Baltimore, Maryland",15522,39.2903848,-76.6121893
"Bangor, Maine",10,44.8016128,-68.7712257
"Banning, California",126,33.9255713,-116.8764103
"Barberton, Ohio",82,41.012833,-81.6051221
"Barboursville, Virginia",6,38.1709675,-78.2816723
"Bardonia, New York",2,41.1095403,-73.9962505
"Barland, Texas",2,32.912624,-96.63888329999999
"Barnesville, Minnesota",24,46.6533237,-96.42001259999999
"Baron, Wisconsin",12,45.4013471,-91.8490626
"Barre, Vermont",24,44.1970055,-72.50204939999999
"Barrington, New Jersey",36,39.8648357,-75.05517139999999
"Barron, Wisconsin",138,45.4013471,-91.8490626
"Barstow, California",62,34.8957957,-117.0172826
"Bartlett, Illinois",60,41.9950276,-88.1856301
"Bartonville, Texas",2,33.0731775,-97.13167879999999
"Basking Ridge, New Jersey",14,40.7066174,-74.5493284
"Batavia, Illinois",156,41.8500284,-88.3125738
"Baton Bouge, Louisiana",6,30.4514677,-91.18714659999999
