city,lat,lng
"Mobile, Alabama",30.6953657,-88.0398912
"Birmingham, Alabama",33.5185892,-86.8103567
"Dothan, Alabama",31.2232313,-85.3904888
"Montgomery, Alabama",32.3792233,-86.3077368
"Ashland, Alabama",33.2737256,-85.83607409999999
"Calera, Alabama",33.1028965,-86.7535975
"Huntsville, Alabama",34.7303688,-86.5861037
"Tuscaloosa, Alabama",33.2098407,-87.56917349999999
"Daphne, Alabama",30.6035255,-87.9036047
"Jacksonville, Alabama",33.8137125,-85.76135359999999
"Phenix City, Alabama",32.4709761,-85.0007653
"Madison, Alabama",34.6992579,-86.74833180000002
"Pelham, Alabama",33.2856687,-86.8099885
"Prattville, Alabama",32.4640245,-86.4596966
"Anchorage, Alaska",61.2180556,-149.9002778
"Phoenix, Alaska",33.4859793,-112.1230048
"Fairbanks, Alaska",64.8377778,-147.7163888
"Juneau, Alaska",58.301944399999996,-134.4197221
"Delta Junction, Alaska",64.0377778,-145.7322221
"Palmer, Alaska",61.5997222,-149.1127777
"Wasilla, Alaska",61.5813889,-149.4394444
"Chandler, Arizona",33.3061605,-111.8412502
"Gilbert, Arizona",33.3528264,-111.789027
"Glendale, Arizona",33.5386523,-112.1859866
"Peoria, Arizona",33.5805955,-112.2373779
"Phoenix, Arizona",33.4483771,-112.0740373
"Scottsdale, Arizona",33.4941704,-111.9260519
"Sun City, Arizona",33.5975393,-112.2718239
"Tucson, Arizona",32.2226066,-110.9747108
"Tempe, Arizona",33.4255104,-111.9400054
"Mesa, Arizona",33.4151843,-111.8314724
"Fountain Hills, Arizona",33.6042079,-111.7256936
"Cave Creek, Arizona",33.8333716,-111.9507042
"Avondale, Arizona",33.4355977,-112.3496021
"Anthem, Arizona",33.8543346,-112.1251372
"Buckeye, Arizona",33.3703197,-112.5837766
"Casa Grande, Arizona",32.9110027,-111.7733902
"Laveen, Arizona",33.3628227,-112.169317
"Paradise Valley, Arizona",33.5311541,-111.9426452
"Tolleson, Arizona",33.4500425,-112.259321
"Wickenburg, Arizona",33.9697664,-112.7301882
"Yuma, Arizona",32.6926512,-114.6276916
"Bullhead City, Arizona",35.1359386,-114.5285981
"El Mirage, Arizona",33.6130942,-112.3246042
"Guadalupe, Arizona",33.3708798,-111.9629216
"Kingman, Arizona",35.189443,-114.0530065
"Litchfield Park, Arizona",33.4933743,-112.3579364
"Maricopa, Arizona",33.0581063,-112.0476423
"Queen Creek, Arizona",33.2486638,-111.6342993
"Sahuarita, Arizona",31.9575818,-110.955646
"Surprise, Arizona",33.6292337,-112.3679279
"Tonopah, Arizona",33.4934778,-112.9370802
"Youngtown, Arizona",33.5939281,-112.3029362
"Grandon, Arizona",33.5745261,-111.8227229
"Gold Canyon, Arizona",33.3593407,-111.4500302
"Flagstaff, Arizona",35.1982836,-111.651302
"Hot Springs, Arkansas",34.5037004,-93.0551795
"Jonesboro, Arkansas",35.84229670000001,-90.704279
"Little Rock, Arkansas",34.7464809,-92.28959479999999
"Phoenix, Arkansas",35.4080187,-93.0075642
"North Little Rock, Arkansas",34.769536,-92.2670941
"Springdale, Arkansas",36.18674420000001,-94.1288141
"Fayetteville, Arkansas",36.082156,-94.17185420000001
"Lowell, Arkansas",36.2553543,-94.1307587
"Harrison, Arkansas",36.2297936,-93.1076765
"Magazine, Arkansas",35.1509249,-93.80686519999999
"Siloam Springs, Arkansas",36.1881365,-94.54049619999999
"Bentonville, Arkansas",36.3728538,-94.2088172
"Blytheville, Arkansas",35.9272953,-89.9189753
"Fort Smith, Arkansas",35.3859242,-94.39854749999999
"Alameda, California",37.7652065,-122.2416355
"Anaheim, California",33.8365932,-117.9143012
"Antelope, California",38.7166871,-121.3644216
"Berkeley, California",37.8715926,-122.272747
"Burbank, California",34.1808392,-118.3089661
"Canoga Park, California",34.208254,-118.6058609
"Carona, California",33.8752935,-117.5664384
"Citrus Heights, California",38.7071247,-121.2810611
"Claremont, California",34.0966764,-117.7197785
"Concord, California",37.9779776,-122.0310733
"Cupertino, California",37.3229978,-122.0321823
"Dublin, California",37.7021521,-121.9357918
"El Cajon, California",32.7947731,-116.9625269
"Elk Grove, California",38.4087993,-121.3716178
"Encino, California",34.1517492,-118.5214282
"Fontana, California",34.0922335,-117.435048
"Fountain Valley, California",33.7090212,-117.9544069
"Fremont, California",37.5482697,-121.9885719
"Fullerton, California",33.8703645,-117.9242123
"Garden Grove, California",33.7742692,-117.9379952
"Gilroy, California",37.0057816,-121.5682751
"Hayward, California",37.6688205,-122.0807964
"Huntington Beach, California",33.6594835,-117.9988026
"Irvine, California",33.6845673,-117.8265049
"La Habra, California",33.9318591,-117.946137
"La Mesa, California",32.7678287,-117.0230839
"Laguna Niguel, California",33.5236744,-117.7149438
"Lancaster, California",34.6867846,-118.1541632
"Livermore, California",37.6818745,-121.7680088
"Los Angeles, California",34.0522342,-118.2436849
"Manteca, California",37.7974273,-121.2160526
"Modesto, California",37.63909719999999,-120.9968782
"Morgan Hill, California",37.1305012,-121.6543901
"Murrieta, California",33.5539143,-117.2139232
"Newark, California",37.5296593,-122.0402399
"Newport Beach, California",33.6188829,-117.9298493
"North Hills, California",34.235822,-118.4849365
"North Hollywood, California",34.187044,-118.3812562
"Oceanside, California",33.1958696,-117.3794834
