state,sum
Alabama,1768
Alaska,1312
Arizona,40881
Arkansas,272
California,106605
Colorado,20945
Connecticut,7531
Delaware,192
"District of Columbia",566
Florida,47930
Georgia,37004
Guam,5
Hawaii,127
Idaho,12518
Illinois,32511
Indiana,17966
Iowa,9120
Kansas,6002
Kentucky,21717
Louisiana,3155
Maine,3946
Maryland,16687
Massachusetts,22501
Michigan,40012
Minnesota,42247
Mississippi,115
Missouri,17902
Montana,295
Nebraska,11942
Nevada,7149
"New Hampshire",6569
"New Jersey",8966
"New Mexico",2602
"New York",56563
"North Carolina",31891
"North Dakota",5891
Ohio,33554
Oklahoma,3759
Oregon,15360
Pennsylvania,34202
"Puerto Rico",49
"Rhode Island",3025
"South Carolina",2480
"South Dakota",6242
Tennessee,18636
Texas,85714
Utah,14406
Vermont,4265
Virginia,20746
Washington,43169
"West Virginia",196
Wisconsin,14523
Wyoming,6
